,datapoint,xvalue,yvalue
0,1,150.000097,0.0
1,2,150.000233,0.0
2,3,150.000368,0.0
3,4,150.000504,0.0
4,5,150.024783,0.0
5,6,150.024918,0.0
6,7,150.025054,0.0
7,8,150.02519,0.0
8,9,150.025325,53.550629
9,10,150.025461,81.815033
10,11,150.025597,110.508636
11,12,150.025732,113.759811
12,13,150.025868,69.849915
13,14,150.026004,0.0
14,15,150.026139,0.0
15,16,150.026275,61.688057
16,17,150.026411,200.019913
17,18,150.026546,389.493713
18,19,150.026682,583.667114
19,20,150.026818,616.297485
20,21,150.026953,413.925903
21,22,150.027089,117.07637
22,23,150.027225,0.0
23,24,150.02736,0.0
24,25,150.027496,0.0
25,26,150.027631,0.0
26,27,150.027767,0.0
27,28,151.026604,0.0
28,29,151.026742,0.0
29,30,151.026879,0.0
30,31,151.027017,0.0
31,32,151.027154,22.148315
32,33,151.027292,89.266022
33,34,151.027429,156.773438
34,35,151.027567,202.529587
35,36,151.027704,193.749649
36,37,151.027842,114.189972
37,38,151.027979,5.230267
38,39,151.028117,0.0
39,40,151.028254,0.0
40,41,151.028392,0.0
41,42,151.028529,0.0
42,43,151.095786,0.0
43,44,151.095923,0.0
44,45,151.096061,0.0
45,46,151.096198,0.0
46,47,151.096336,57.191399
47,48,151.096474,87.757004
48,49,151.096611,95.971085
49,50,151.096749,82.204666
50,51,151.096886,56.144844
51,52,151.097024,0.0
52,53,151.097162,0.0
53,54,151.097299,0.0
54,55,151.097437,0.0
55,56,151.109272,0.0
56,57,151.109409,0.0
57,58,151.109547,0.0
58,59,151.109684,0.0
59,60,151.109822,19.506386
60,61,151.10996,93.334915
61,62,151.110097,85.27594
62,63,151.110235,39.199326
63,64,151.110373,128.847366
64,65,151.11051,176.018173
65,66,151.110648,154.550354
66,67,151.110785,90.938049
67,68,151.110923,24.836296
68,69,151.111061,40.08989
69,70,151.111198,79.428711
70,71,151.111336,384.484924
71,72,151.111474,1107.494019
72,73,151.111611,2155.36377
73,74,151.111749,2918.053467
74,75,151.111887,2809.939941
75,76,151.112024,1895.743408
76,77,151.112162,821.276306
77,78,151.112299,163.08046
78,79,151.112437,32.929184
79,80,151.112575,0.0
80,81,151.112712,0.0
81,82,151.11285,0.0
82,83,151.112988,0.0
83,84,151.122622,0.0
84,85,151.12276,0.0
85,86,151.122898,0.0
86,87,151.123035,0.0
87,88,151.123173,20.973801
88,89,151.123311,83.978073
89,90,151.123448,131.411285
90,91,151.123586,143.016647
91,92,151.123724,118.43187
92,93,151.123861,74.91658
93,94,151.123999,0.0
94,95,151.124137,0.0
95,96,151.124274,0.0
96,97,151.124412,0.0
97,98,151.696866,0.0
98,99,151.697005,0.0
99,100,151.697144,0.0
100,101,151.697282,0.0
101,102,151.697421,74.764557
102,103,151.69756,87.930496
103,104,151.697698,73.871536
104,105,151.697837,0.0
105,106,151.697976,0.0
106,107,151.698114,0.0
107,108,151.698253,0.0
108,109,152.111732,0.0
109,110,152.111871,0.0
110,111,152.11201,0.0
111,112,152.11215,0.0
112,113,152.112289,68.00444
113,114,152.112429,108.47403
114,115,152.112568,114.737305
115,116,152.112708,83.116318
116,117,152.112847,21.180313
117,118,152.112987,0.0
118,119,152.113126,0.0
119,120,152.113266,0.0
120,121,152.113405,0.0
121,122,152.114381,0.0
122,123,152.114521,0.0
123,124,152.11466,0.0
124,125,152.1148,0.0
125,126,152.114939,29.652588
126,127,152.115079,132.126358
127,128,152.115218,239.287308
128,129,152.115357,205.163559
129,130,152.115497,61.279266
130,131,152.115636,0.0
131,132,152.115776,0.0
132,133,152.115915,0.0
133,134,152.116055,0.0
134,135,153.089997,0.0
135,136,153.090139,0.0
136,137,153.09028,0.0
137,138,153.090421,0.0
138,139,153.090562,42.123856
139,140,153.090704,122.342697
140,141,153.090845,280.303223
141,142,153.090986,395.096985
142,143,153.091128,371.429382
143,144,153.091269,220.717484
144,145,153.09141,44.844528
145,146,153.091551,0.0
146,147,153.091693,0.0
147,148,153.091834,0.0
148,149,153.091975,0.0
149,150,153.126592,0.0
150,151,153.126733,0.0
151,152,153.126874,0.0
152,153,153.127016,0.0
153,154,153.127157,0.0
154,155,153.127298,122.915573
155,156,153.12744,201.932693
156,157,153.127581,171.259247
157,158,153.127722,74.230606
158,159,153.127864,0.0
159,160,153.128005,0.0
160,161,153.128146,0.0
161,162,153.128288,0.0
